,c,k,m,d0,a0,a1,a2,a3,a4,a5,a6,a7,a8
0,0.1,1.0,1.0,0.1,0.0,-10.008562987844718,-10.017045739466138,0.0,0.0,0.0,0.0,0.0,0.0
1,0.05,0.5,0.8,0.05,0.0,-10.005350359577081,-16.017071017401182,0.0,0.0,0.0,0.0,0.0,0.0
2,0.02,0.1,0.1,0.02,0.0,-5.004281464904344,-5.008394368024659,0.0,0.0,0.0,0.0,0.0,0.0
3,0.07,0.2,0.2,0.07,0.0,-2.859589362918735,-2.861737712748291,0.0,0.0,0.0,0.0,0.0,0.0
4,0.2,0.1,1.0,0.05,0.0,-0.5000427855777104,-5.0006845962009345,0.0,0.0,0.0,0.0,0.0,0.0
5,0.12,0.3,0.7,0.08,0.0,-2.5009170632663893,-5.8374668094976,0.0,0.0,0.0,0.0,0.0,0.0
6,0.03,0.6,0.5,0.09,0.0,-20.020554305991325,-16.70088540375237,0.0,0.0,0.0,0.0,0.0,0.0
7,0.2,0.4,0.3,0.1,0.0,-2.0022838143676984,-1.5028562064096296,0.0,0.0,0.0,0.0,0.0,0.0
