,R,L,C,U,w,phi0,U/I,phi0-phi1
122,0.5,0.07999999821186066,0.05000000074505806,11.0,11.0,0.25,1.0631020464369985,-1.0811423490591419
123,0.5,0.07999999821186066,0.05000000074505806,11.0,11.0,0.375,1.0631021361220996,-1.0811448103610268
124,0.5,0.07999999821186066,0.05000000074505806,11.0,11.0,0.5,1.0631026649862232,-1.0810477476912546
125,0.5,0.07999999821186066,0.07500000298023224,9.0,9.0,0.0,0.9109632185401507,-0.9897850171305435
126,0.5,0.07999999821186066,0.07500000298023224,9.0,9.0,0.125,0.9109637245920998,-0.9897861509530104
127,0.5,0.07999999821186066,0.07500000298023224,9.0,9.0,0.25,0.9109632783439342,-0.9897852115375152
128,0.5,0.07999999821186066,0.07500000298023224,9.0,9.0,0.375,0.910963477419258,-0.9897863849515629
129,0.5,0.07999999821186066,0.07500000298023224,9.0,9.0,0.5,0.9109632185401505,-0.9897850434005697
130,0.5,0.07999999821186066,0.07500000298023224,9.0,9.5,0.0,0.8149255027611378,-0.910244129487451
131,0.5,0.07999999821186066,0.07500000298023224,9.0,9.5,0.125,0.8149266551048965,-0.9102465380594265
132,0.5,0.07999999821186066,0.07500000298023224,9.0,9.5,0.25,0.8149254983293268,-0.9102441819650979
133,0.5,0.07999999821186066,0.07500000298023224,9.0,9.5,0.375,0.8149254794013543,-0.9102441681323132
134,0.5,0.07999999821186066,0.07500000298023224,9.0,9.5,0.5,0.8149259518307196,-0.9102478465726014
135,0.5,0.07999999821186066,0.07500000298023224,9.0,10.0,0.0,0.7310573118483593,-0.8176453983945281
136,0.5,0.07999999821186066,0.07500000298023224,9.0,10.0,0.125,0.7310573953305277,-0.8176456677032398
137,0.5,0.07999999821186066,0.07500000298023224,9.0,10.0,0.25,0.7310574902583693,-0.8176461128409966
138,0.5,0.07999999821186066,0.07500000298023224,9.0,10.0,0.375,0.731057596631892,-0.8176469030525715
139,0.5,0.07999999821186066,0.07500000298023224,9.0,10.0,0.5,0.7310577144511037,-0.8176485384175964
140,0.5,0.07999999821186066,0.07500000298023224,9.0,10.5,0.0,0.6593664148180728,-0.7100890244101832
141,0.5,0.07999999821186066,0.07500000298023224,9.0,10.5,0.125,0.6593659760394734,-0.7100884524248439
142,0.5,0.07999999821186066,0.07500000298023224,9.0,10.5,0.25,0.6593659765519173,-0.7100884536608729
143,0.5,0.07999999821186066,0.07500000298023224,9.0,10.5,0.375,0.6593664304894172,-0.7100897583571015
144,0.5,0.07999999821186066,0.07500000298023224,9.0,10.5,0.5,0.659367171883869,-0.7100932610452966
145,0.5,0.07999999821186066,0.07500000298023224,9.0,11.0,0.0,0.6002539872992243,-0.5863227037796772
146,0.5,0.07999999821186066,0.07500000298023224,9.0,11.0,0.125,0.6002537937697698,-0.5863225269984715
147,0.5,0.07999999821186066,0.07500000298023224,9.0,11.0,0.25,0.6002536911350934,-0.586322384105273
148,0.5,0.07999999821186066,0.07500000298023224,9.0,11.0,0.375,0.6002544846330974,-0.5863242835438013
149,0.5,0.07999999821186066,0.07500000298023224,9.0,11.0,0.5,0.6002536802491171,-0.5863223640655524
150,0.5,0.07999999821186066,0.07500000298023224,9.5,9.0,0.0,0.9109632185401505,-0.9897850171305435
151,0.5,0.07999999821186066,0.07500000298023224,9.5,9.0,0.125,0.9109637245921,-0.9897861509530104
152,0.5,0.07999999821186066,0.07500000298023224,9.5,9.0,0.25,0.9109632783439342,-0.9897852115375159
153,0.5,0.07999999821186066,0.07500000298023224,9.5,9.0,0.375,0.9109634774192579,-0.9897863849515629
154,0.5,0.07999999821186066,0.07500000298023224,9.5,9.0,0.5,0.9109632185401505,-0.9897850434005684
155,0.5,0.07999999821186066,0.07500000298023224,9.5,9.5,0.0,0.8149255027611378,-0.910244129487451
156,0.5,0.07999999821186066,0.07500000298023224,9.5,9.5,0.125,0.8149266551048968,-0.9102465380594265
157,0.5,0.07999999821186066,0.07500000298023224,9.5,9.5,0.25,0.8149254983293267,-0.9102441819650979
158,0.5,0.07999999821186066,0.07500000298023224,9.5,9.5,0.375,0.8149254794013544,-0.9102441681323137
159,0.5,0.07999999821186066,0.07500000298023224,9.5,9.5,0.5,0.8149259518307196,-0.9102478465726014
160,0.5,0.07999999821186066,0.07500000298023224,9.5,10.0,0.0,0.7310573118483595,-0.8176453983945282
161,0.5,0.07999999821186066,0.07500000298023224,9.5,10.0,0.125,0.7310573953305277,-0.8176456677032399
162,0.5,0.07999999821186066,0.07500000298023224,9.5,10.0,0.25,0.7310574902583694,-0.8176461128409969
163,0.5,0.07999999821186066,0.07500000298023224,9.5,10.0,0.375,0.731057596631892,-0.8176469030525715
164,0.5,0.07999999821186066,0.07500000298023224,9.5,10.0,0.5,0.7310577144511038,-0.8176485384175969
165,0.5,0.07999999821186066,0.07500000298023224,9.5,10.5,0.0,0.6593664148180727,-0.7100890244101834
166,0.5,0.07999999821186066,0.07500000298023224,9.5,10.5,0.125,0.6593659760394734,-0.7100884524248442
167,0.5,0.07999999821186066,0.07500000298023224,9.5,10.5,0.25,0.6593659765519172,-0.7100884536608727
168,0.5,0.07999999821186066,0.07500000298023224,9.5,10.5,0.375,0.659366430489417,-0.7100897583571018
169,0.5,0.07999999821186066,0.07500000298023224,9.5,10.5,0.5,0.659367171883869,-0.710093261045297
170,0.5,0.07999999821186066,0.07500000298023224,9.5,11.0,0.0,0.6002539872992243,-0.5863227037796772
171,0.5,0.07999999821186066,0.07500000298023224,9.5,11.0,0.125,0.60025379376977,-0.5863225269984714
172,0.5,0.07999999821186066,0.07500000298023224,9.5,11.0,0.25,0.6002536911350933,-0.5863223841052728
173,0.5,0.07999999821186066,0.07500000298023224,9.5,11.0,0.375,0.6002544846330974,-0.5863242835438011
174,0.5,0.07999999821186066,0.07500000298023224,9.5,11.0,0.5,0.6002536802491168,-0.586322364065552
175,0.5,0.07999999821186066,0.07500000298023224,10.0,9.0,0.0,0.9109632185401505,-0.9897850171305433
176,0.5,0.07999999821186066,0.07500000298023224,10.0,9.0,0.125,0.9109637245921001,-0.9897861509530108
177,0.5,0.07999999821186066,0.07500000298023224,10.0,9.0,0.25,0.9109632783439343,-0.9897852115375159
178,0.5,0.07999999821186066,0.07500000298023224,10.0,9.0,0.375,0.910963477419258,-0.9897863849515622
179,0.5,0.07999999821186066,0.07500000298023224,10.0,9.0,0.5,0.9109632185401505,-0.9897850434005697
180,0.5,0.07999999821186066,0.07500000298023224,10.0,9.5,0.0,0.8149255027611378,-0.910244129487451
181,0.5,0.07999999821186066,0.07500000298023224,10.0,9.5,0.125,0.8149266551048967,-0.9102465380594265
182,0.5,0.07999999821186066,0.07500000298023224,10.0,9.5,0.25,0.8149254983293268,-0.9102441819650982
183,0.5,0.07999999821186066,0.07500000298023224,10.0,9.5,0.375,0.8149254794013543,-0.910244168132313
184,0.5,0.07999999821186066,0.07500000298023224,10.0,9.5,0.5,0.8149259518307196,-0.910247846572602
185,0.5,0.07999999821186066,0.07500000298023224,10.0,10.0,0.0,0.7310573118483594,-0.8176453983945282
186,0.5,0.07999999821186066,0.07500000298023224,10.0,10.0,0.125,0.7310573953305276,-0.8176456677032399
187,0.5,0.07999999821186066,0.07500000298023224,10.0,10.0,0.25,0.7310574902583694,-0.8176461128409969
188,0.5,0.07999999821186066,0.07500000298023224,10.0,10.0,0.375,0.731057596631892,-0.8176469030525715
189,0.5,0.07999999821186066,0.07500000298023224,10.0,10.0,0.5,0.7310577144511038,-0.8176485384175969
190,0.5,0.07999999821186066,0.07500000298023224,10.0,10.5,0.0,0.6593664148180728,-0.7100890244101832
191,0.5,0.07999999821186066,0.07500000298023224,10.0,10.5,0.125,0.6593659760394733,-0.710088452424844
192,0.5,0.07999999821186066,0.07500000298023224,10.0,10.5,0.25,0.6593659765519172,-0.7100884536608729
193,0.5,0.07999999821186066,0.07500000298023224,10.0,10.5,0.375,0.659366430489417,-0.710089758357102
194,0.5,0.07999999821186066,0.07500000298023224,10.0,10.5,0.5,0.6593671718838688,-0.710093261045297
195,0.5,0.07999999821186066,0.07500000298023224,10.0,11.0,0.0,0.6002539872992244,-0.5863227037796772
196,0.5,0.07999999821186066,0.07500000298023224,10.0,11.0,0.125,0.60025379376977,-0.5863225269984714
197,0.5,0.07999999821186066,0.07500000298023224,10.0,11.0,0.25,0.6002536911350933,-0.5863223841052728
198,0.5,0.07999999821186066,0.07500000298023224,10.0,11.0,0.375,0.6002544846330975,-0.5863242835438013
199,0.5,0.07999999821186066,0.07500000298023224,10.0,11.0,0.5,0.6002536802491171,-0.586322364065552
200,0.5,0.07999999821186066,0.07500000298023224,10.5,9.0,0.0,0.9109632185401505,-0.9897850171305433
201,0.5,0.07999999821186066,0.07500000298023224,10.5,9.0,0.125,0.9109637245921001,-0.9897861509530108
202,0.5,0.07999999821186066,0.07500000298023224,10.5,9.0,0.25,0.9109632783439345,-0.9897852115375156
203,0.5,0.07999999821186066,0.07500000298023224,10.5,9.0,0.375,0.9109634774192578,-0.9897863849515629
204,0.5,0.07999999821186066,0.07500000298023224,10.5,9.0,0.5,0.9109632185401506,-0.9897850434005684
205,0.5,0.07999999821186066,0.07500000298023224,10.5,9.5,0.0,0.8149255027611378,-0.910244129487451
206,0.5,0.07999999821186066,0.07500000298023224,10.5,9.5,0.125,0.8149266551048967,-0.9102465380594265
207,0.5,0.07999999821186066,0.07500000298023224,10.5,9.5,0.25,0.8149254983293269,-0.9102441819650979
208,0.5,0.07999999821186066,0.07500000298023224,10.5,9.5,0.375,0.8149254794013543,-0.9102441681323132
209,0.5,0.07999999821186066,0.07500000298023224,10.5,9.5,0.5,0.8149259518307197,-0.9102478465726014
210,0.5,0.07999999821186066,0.07500000298023224,10.5,10.0,0.0,0.7310573118483595,-0.8176453983945281
211,0.5,0.07999999821186066,0.07500000298023224,10.5,10.0,0.125,0.7310573953305277,-0.8176456677032398
212,0.5,0.07999999821186066,0.07500000298023224,10.5,10.0,0.25,0.7310574902583694,-0.8176461128409966
213,0.5,0.07999999821186066,0.07500000298023224,10.5,10.0,0.375,0.731057596631892,-0.8176469030525715
214,0.5,0.07999999821186066,0.07500000298023224,10.5,10.0,0.5,0.7310577144511038,-0.8176485384175964
215,0.5,0.07999999821186066,0.07500000298023224,10.5,10.5,0.0,0.6593664148180728,-0.7100890244101832
216,0.5,0.07999999821186066,0.07500000298023224,10.5,10.5,0.125,0.6593659760394736,-0.7100884524248442
217,0.5,0.07999999821186066,0.07500000298023224,10.5,10.5,0.25,0.6593659765519173,-0.7100884536608729
218,0.5,0.07999999821186066,0.07500000298023224,10.5,10.5,0.375,0.659366430489417,-0.710089758357102
219,0.5,0.07999999821186066,0.07500000298023224,10.5,10.5,0.5,0.6593671718838688,-0.7100932610452966
220,0.5,0.07999999821186066,0.07500000298023224,10.5,11.0,0.0,0.6002539872992242,-0.5863227037796772
221,0.5,0.07999999821186066,0.07500000298023224,10.5,11.0,0.125,0.60025379376977,-0.5863225269984714
222,0.5,0.07999999821186066,0.07500000298023224,10.5,11.0,0.25,0.6002536911350932,-0.586322384105273
223,0.5,0.07999999821186066,0.07500000298023224,10.5,11.0,0.375,0.6002544846330974,-0.5863242835438013
224,0.5,0.07999999821186066,0.07500000298023224,10.5,11.0,0.5,0.6002536802491171,-0.5863223640655524
225,0.5,0.07999999821186066,0.07500000298023224,11.0,9.0,0.0,0.9109632185401504,-0.9897850171305435
226,0.5,0.07999999821186066,0.07500000298023224,11.0,9.0,0.125,0.9109637245921001,-0.9897861509530106
227,0.5,0.07999999821186066,0.07500000298023224,11.0,9.0,0.25,0.9109632783439345,-0.9897852115375156
228,0.5,0.07999999821186066,0.07500000298023224,11.0,9.0,0.375,0.910963477419258,-0.9897863849515629
229,0.5,0.07999999821186066,0.07500000298023224,11.0,9.0,0.5,0.9109632185401506,-0.9897850434005684
230,0.5,0.07999999821186066,0.07500000298023224,11.0,9.5,0.0,0.8149255027611377,-0.9102441294874508
231,0.5,0.07999999821186066,0.07500000298023224,11.0,9.5,0.125,0.8149266551048967,-0.9102465380594265
232,0.5,0.07999999821186066,0.07500000298023224,11.0,9.5,0.25,0.8149254983293267,-0.9102441819650979
233,0.5,0.07999999821186066,0.07500000298023224,11.0,9.5,0.375,0.8149254794013544,-0.9102441681323137
234,0.5,0.07999999821186066,0.07500000298023224,11.0,9.5,0.5,0.8149259518307196,-0.9102478465726014
235,0.5,0.07999999821186066,0.07500000298023224,11.0,10.0,0.0,0.7310573118483594,-0.8176453983945282
236,0.5,0.07999999821186066,0.07500000298023224,11.0,10.0,0.125,0.7310573953305277,-0.8176456677032398
237,0.5,0.07999999821186066,0.07500000298023224,11.0,10.0,0.25,0.7310574902583694,-0.8176461128409969
238,0.5,0.07999999821186066,0.07500000298023224,11.0,10.0,0.375,0.7310575966318922,-0.8176469030525715
239,0.5,0.07999999821186066,0.07500000298023224,11.0,10.0,0.5,0.7310577144511039,-0.8176485384175969
240,0.5,0.07999999821186066,0.07500000298023224,11.0,10.5,0.0,0.6593664148180727,-0.7100890244101834
241,0.5,0.07999999821186066,0.07500000298023224,11.0,10.5,0.125,0.6593659760394734,-0.7100884524248442
242,0.5,0.07999999821186066,0.07500000298023224,11.0,10.5,0.25,0.6593659765519173,-0.7100884536608729
243,0.5,0.07999999821186066,0.07500000298023224,11.0,10.5,0.375,0.659366430489417,-0.7100897583571015
244,0.5,0.07999999821186066,0.07500000298023224,11.0,10.5,0.5,0.6593671718838688,-0.7100932610452966
245,0.5,0.07999999821186066,0.07500000298023224,11.0,11.0,0.0,0.6002539872992243,-0.5863227037796772
246,0.5,0.07999999821186066,0.07500000298023224,11.0,11.0,0.125,0.60025379376977,-0.5863225269984714
247,0.5,0.07999999821186066,0.07500000298023224,11.0,11.0,0.25,0.6002536911350933,-0.586322384105273
248,0.5,0.07999999821186066,0.07500000298023224,11.0,11.0,0.375,0.6002544846330974,-0.5863242835438015
249,0.5,0.07999999821186066,0.07500000298023224,11.0,11.0,0.5,0.6002536802491168,-0.5863223640655519
250,0.5,0.07999999821186066,0.10000000149011612,9.0,9.0,0.0,0.634797824264092,-0.6638068060645622
251,0.5,0.07999999821186066,0.10000000149011612,9.0,9.0,0.125,0.6347975354979875,-0.6638064530791229
252,0.5,0.07999999821186066,0.10000000149011612,9.0,9.0,0.25,0.6347976689960191,-0.6638067294055919
